id,trigger,conditions,script,text,options,notes
"#RULESET_NAME niko_MPC",,,,,,
,,,,,,
# Satellite Interactions,,,,,,
niko_MPC_marketSatellitesNoBlock,OpenInteractionDialog,"!niko_MPC_marketBlockedByArtyStation

niko_MPC_entityHasSatellites
!$niko_MPC_bypassedSatellites
!niko_MPC_satellitesWantToBlockPlayer score:1090","FireBest OpenInteractionDialog","The satellites in orbit of $entityName give your $shipOrFleet no trouble as you approach, though sensors do give a few worrying reports of brief lock-ons and targetting laser scans.",,
niko_MPC_marketSatellitesWantToBlockButCant,OpenInteractionDialog,"!niko_MPC_marketBlockedByArtyStation

niko_MPC_entityHasSatellites
!$niko_MPC_bypassedSatellites
niko_MPC_satellitesWantToBlockPlayer 
!niko_MPC_satellitesCapableOfBlockingPlayer score:1250","FireBest OpenInteractionDialog","While the satellites in orbit of $entityName harass you, they simply are not strong enough to prevent your approach.",,"wont call noblock since wanttoblockplayer is true not false"
niko_MPC_marketSatellitesWillingAndCapableToBlock,OpenInteractionDialog,"!niko_MPC_marketBlockedByArtyStation

niko_MPC_entityHasSatellites
!$niko_MPC_bypassedSatellites
niko_MPC_satellitesCapableAndWillingToBlock score:1000","FireBest niko_MPC_satellitesBlockingAccess",,,
niko_MPC_marketSatellitesNoBlockArty,OpenInteractionDialog,"niko_MPC_marketBlockedByArtyStation

niko_MPC_entityHasSatellites
!$niko_MPC_bypassedSatellites
$market.isPlanetConditionMarketOnly","FireBest OpenInteractionDialog","The satellites in orbit of $entityName are currently protected by the artillery station, which you will have to engage first.",,
,,,,,,
# Satellites Blocking Access,,,,,,
niko_MPC_genericSatelliteBlock,niko_MPC_satellitesBlockingAccess,,"ShowDefaultVisual
FireAll niko_MPC_satellitesBlocking_PopulateOptions
FireBest niko_MPC_satellitesBlockingText",,,
,,,,,,
# Populating Options,,,,,,
niko_MPC_attackSatellitesOption,niko_MPC_satellitesBlocking_PopulateOptions,,,,"80:niko_MPC_attackDefenseSatellites:Move in to engage the defense satellites",
niko_MPC_marketLeaveOption,niko_MPC_satellitesBlocking_PopulateOptions,"$hasMarket
!$market.isPlanetConditionMarketOnly","SetTooltip marketLeave $marketLeaveTooltip
SetShortcut marketLeave ""ESCAPE""",,"500:marketLeave:Leave",
niko_MPC_surveyLeaveOption,niko_MPC_satellitesBlocking_PopulateOptions,"$market.isPlanetConditionMarketOnly","SetShortcut surveyLeave ""ESCAPE""",,"500:surveyLeave:Leave",
niko_MPC_phaseThroughOption,niko_MPC_satellitesBlocking_PopulateOptions,,"FireBest niko_MPC_modifyPhaseThroughOption

SetTooltip niko_MPC_phaseThroughSatellitesOption ""The effectiveness of this method scales with the percentage of phase ships in your fleet.\n\nUnusable at or below 30%, 3 story points above 30%, 2 story points above 50%, 1 story point above 75%, free above 95%.""
SetTooltipHighlightColors niko_MPC_phaseThroughSatellitesOption textEnemyColor hColor storyOptionColor hColor storyOptionColor hColor storyOptionColor hColor storyOptionColor textFriendColor
SetTooltipHighlights niko_MPC_phaseThroughSatellitesOption ""Unusable"" ""at or below 30%"" ""3"" ""above 30%"" ""2"" ""above 50%"" ""1"" ""above 75%"" ""free"" ""above 95%""",,"110:niko_MPC_phaseThroughSatellitesOption:Use your phase ships to distract the satellites long enough for your fleet to approach",
niko_MPC_sneakOption,#niko_MPC_satellitesBlocking_PopulateOptions,,"FireBest niko_MPC_modifySneakThroughOption
",,"120:niko_MPC_sneakThroughSatellitesOption:Attempt to sneak through the satellites",
niko_MPC_ecmOption,niko_MPC_satellitesBlocking_PopulateOptions,,"FireBest niko_MPC_modifyEcmOption

SetTooltip niko_MPC_ecmSatellitesOption ""The effectiveness of this method scales with your fleet's cumulative ECM strength.\n\nUnusable at or below 10%, 3 story points above 10%, 2 story points above 25%, 1 story point above 40%.\n\nUsing this option will slightly damage your reputation with the owner of the market, and cause a small military response to be dispatched to this market to investigate your fleet as a possible smuggler.""
SetTooltipHighlightColors niko_MPC_ecmSatellitesOption textEnemyColor hColor storyOptionColor hColor storyOptionColor hColor storyOptionColor hColor
SetTooltipHighlights niko_MPC_ecmSatellitesOption ""Unusable"" ""at or below 10%"" ""3"" ""above 10%"" ""2"" ""above 25%"" ""1"" ""above 40%""",,"130:niko_MPC_ecmSatellitesOption:Disrupt the satellites' targetting with your ECM",
"#END Populating Options",,,,,,
,,,,,,
# Intro Text,,,,,,
niko_MPC_genericSatelliteBlockText,niko_MPC_satellitesBlockingText,,,"Before you can even enter high orbit of $entityName, your $shipOrFleet is suddenly lit up by hundreds of thousands of targetting lasers. Your sensors officer reports that the array of defense satellites in orbit of $entityName are currently tracking your $shipOrFleet and will make further approach nearly impossible, unless a number are destroyed/disabled.",,
"#END Intro Text",,,,,,
,,,,,,
# Attacking Satellites,,,,,,
niko_MPC_attackDefenseSatellitesSelected,DialogOptionSelected,"$option == niko_MPC_attackDefenseSatellites","niko_MPC_prepareSatelliteEncounter
FireBest niko_MPC_defenseSatellitesPrepareAttack
FireBest niko_MPC_defenseSatellitesPrepareText",,,
,,,,,,
# Text,,,,,,
niko_MPC_defenseSatellitesPrepareGenericText,niko_MPC_defenseSatellitesPrepareText,,,"You give the order to prepare for an engagement with the defense satellites.",,
"#END Text",,,,,,
,,,,,,
# Battle End,,,,,,
,,,,,,
# Complete victory,,,,,,
niko_MPC_defenseSatellitesDefeatedContinue,niko_MPC_DefenseSatellitesDefeated,,"FireBest OpenInteractionDialog
FireBest niko_MPC_defenseSatellitesDefeatedText",,,"called in dialogUtils"
,,,,,,
# End Text,,,,,,
niko_MPC_genericDefenseSatelliteDefeatedText,niko_MPC_defenseSatellitesDefeatedText,,,"Your efforts have opened a brief hole in the satellite orbit, allowing a brief window to interact.",,
"#END End Text",,,,,,
"#END Complete victory",,,,,,
"#END Battle End",,,,,,
"#END Attacking Satellites",,,,,,
,,,,,,
# Alternate Options,,,,,,
,,,,,,
# Modify,,,,,,
,,,,,,
# Phase,,,,,,
niko_MPC_phaseThroughModBelowMin,niko_MPC_modifyPhaseThroughOption,"niko_MPC_phaseShipPercentCheck ""getPlayerFleet"" ""<="" 0.3 score:100","SetEnabled niko_MPC_phaseThroughSatellitesOption false",,,
